"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"CHEERS HOLDINGS (2004) PTE. LTD.","SW13034P000","1 LOWER KENT RIDGE ROAD #01-28 ONE @ KENTRIDGE SINGAPORE 119082","A","na","na","na"
"YOGURT KENT RIDGE PTE. LTD.","SW14970L000","1 LOWER KENT RIDGE ROAD #01-37 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"JUZ BREAD HOLDING PTE. LTD.","SW15967P000","1 LOWER KENT RIDGE ROAD #02-04/05/06 ONE@ KENTRIDGE SINGAPORE 119082","B","na","na","na"
"MINOR FOOD GROUP (SINGAPORE) PTE. LTD.","SW13025X000","1 LOWER KENT RIDGE ROAD #02-10 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"MINOR FOOD GROUP (SINGAPORE) PTE. LTD.","SW13X53K000","1 LOWER KENT RIDGE ROAD #02-11/12 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"COLD STORAGE SINGAPORE (1983) PTE LTD","SW13X57B000","1 LOWER KENT RIDGE ROAD #03-05/06 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"BURGER KING SINGAPORE PTE. LTD.","SW13325A000","1 LOWER KENT RIDGE ROAD #03-11 SINGAPORE 119082","A","na","na","na"
"STARBUCKS COFFEE SINGAPORE PTE. LTD.","SW13W86V000","1 LOWER KENT RIDGE ROAD #03-12 ONE@KENT RIDGE SINGAPORE 119082","A","na","na","na"
"DELIFRANCE SINGAPORE PTE LTD?","SW13295A000","1 LOWER KENT RIDGE ROAD #04-11/12 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"ONION RESTAURANT & BAR PTE. LTD.","SW13192L000","1 LOWER KENT RIDGE ROAD #04-18/19 ONE @ KENTRIDGE SINGAPORE 119082","A","na","na","na"
"COPITIAM PTE. LTD.","SW13X61K001","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"GIAM GEK HWEE","SW13X61K015","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"GOH SOH CHENG","SW13X61K007","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"HEAVEN'S HERITAGE LLP","SW13X61K012","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"MORIN","SW13X61K011","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"SUDHEER S/O MOHAMED YOUSOFF","SW13X61K008","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"TIONG SIEW YUE","SW13X61K017","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"YAA SIIN FAMILY PTE. LTD.","SW13X61K014","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"ZHENG RONGSHENG","SW13X61K010","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"ZHENG RONGSHENG","SW13X61K013","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"ZHENG RONGSHENG","SW13X61K009","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","na","na"
"ZHENG RONGSHENG","SW13X61K005","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","B","na","na","na"
"IFOOD PTE LTD","SW12M47N000","1 NORTH BUONA VISTA DRIVE #01-K1 MOE HQ BUILDING SINGAPORE 138675","A","na","na","na"
"AISHAN BINTI MUSTAFFA","C00079J002","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","B","na","na","na"
"CHONG KIN MEOI","C00079J001","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","A","na","na","na"
"LEE YOKE WAH","C00079J005","1 NORTH BUONA VISTA DRIVE #02-01 MOE BUILDING SINGAPORE 138675","A","na","na","na"
"NG KIM KOON","C87061B000","1 SCIENCE PARK DRIVE #B1-41D TUV PSB BUILDING SINGAPORE 118221","A","na","na","na"
"ASHOKA TANDOOR PTE. LTD.","C02069X000","1 SCIENCE PARK ROAD #01-11 THE CAPRICORN SINGAPORE SCIENCE PARK II SINGAPORE 117528","B","na","na","na"
"LOH YOUN SIN","W75205A008","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"NORMAH BINTE KARATA","W75205A002","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"NURAENI WAWAN","W75205A005","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"SARIMAH BTE SABINTONO","W75205A007","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"TAN LAY HOON","W75205A003","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"TAY POH CHOO","W75205A001","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"WONG PENG KHUAN","W75205A004","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"YEO LAY HUAY","W75205A006","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","A","na","na","na"
"A B HAZARA BTE ABDUL RAHIMAN","C80174V003","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
"JUNAIDAH ABDULLAH","C80174V002","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
